,time,lat,lon,observation_T,Doppio_T,GoMOLFs_T,FVCOM_T,Clim_T,difference
0,2019-01-02 15:17:00,42.7511,-70.2925,7.52,8.229907851048537,8.635256122681652,9.15715503692627,6.7054,-1.63715503692627
1,2019-01-02 18:22:00,42.65688,-70.38548,7.34,7.946587541145448,8.560848782052176,8.576174736022951,6.8006,-1.2361747360229511
2,2019-01-04 14:04:00,41.04746,-71.43831999999998,9.76,9.414346953544454,8.408904629416355,9.695867538452148,7.877999999999999,0.06413246154785135
3,2019-01-04 17:06:00,41.0862,-71.56846,9.72,9.476889255980351,7.604712944205687,9.23183536529541,6.4605,0.4881646347045905
4,2019-01-05 12:16:00,42.70602,-70.31586999999999,7.38,8.113662983464991,8.400804225506818,9.394662857055664,6.9986,-2.014662857055664
5,2019-01-05 17:21:00,42.64644000000001,-70.40715,7.33,7.693100519850758,8.5430719527334,8.483574867248535,6.6025,-1.153574867248535
6,2019-01-13 09:57:00,42.764920000000004,-70.25806,6.45,7.9482762254534975,7.937301099411798,9.287662506103516,6.7835,-2.8376625061035154
7,2019-01-13 11:35:00,42.76025,-70.27847,6.38,7.96619822226333,7.413785956190394,9.214675903320312,5.937,-2.8346759033203126
8,2019-01-13 13:32:00,42.76684,-70.25353,6.36,7.918028560785714,7.921257778734513,9.541258811950684,6.7835,-3.1812588119506833
9,2019-01-13 15:15:00,42.73575,-70.25004,6.43,8.001332749913884,8.066970176330415,9.168665885925293,6.7835,-2.7386658859252933
10,2019-01-14 09:59:00,42.76012,-70.25965,6.7,7.865599796415778,7.6932786808288265,9.26779842376709,6.7446,-2.5677984237670897
11,2019-01-14 12:01:00,42.75663,-70.28188,6.62,7.877252130438207,7.450409773201272,9.199311256408693,5.8675,-2.579311256408693
12,2019-01-14 13:45:00,42.74638,-70.29626,6.18,7.904021577033768,7.3014398732083805,7.880668640136719,5.8675,-1.700668640136719
13,2019-01-15 11:01:00,42.69652,-70.33239,6.66,7.217289751649559,7.126310318974844,8.659553527832031,5.7238,-1.999553527832031
14,2019-01-15 14:13:00,42.755359999999996,-70.28366,6.57,7.724265349913053,7.359802924738915,9.07914924621582,5.7983,-2.50914924621582
15,2019-01-15 15:25:00,42.75874,-70.28952,6.32,7.610469207561749,7.238865617205023,8.273153305053711,5.7983,-1.9531533050537107
16,2019-01-15 17:29:00,42.68373,-70.36312,6.18,7.237848171688312,7.0743461195601975,8.173334121704103,5.7238,-1.9933341217041036
17,2019-01-26 11:58:00,42.77047,-70.25139,6.15,6.981533097866985,7.6923319226423255,8.121732711791992,6.2494,-1.9717327117919918
18,2019-01-26 15:08:00,42.708040000000004,-70.32136,5.49,6.105035842648134,6.705127595200793,7.485361099243164,6.0035,-1.9953610992431638
19,2019-01-26 17:46:00,42.70512,-70.32559,6.03,6.116077736057264,6.6755478085999576,7.381515979766847,4.9541,-1.3515159797668463
20,2019-01-26 19:54:00,42.68889,-70.33261,6.07,5.99587852087859,6.722415718297497,7.483405113220215,4.9541,-1.4134051132202146
