,time,lat,lon,observation_T,Doppio_T,GoMOLFs_T,FVCOM_T,Clim_T,difference
1878,2020-05-18 12:58:00,42.76793,-70.62134,5.59,6.076903215671437,6.823624469333595,6.378884315490723,4.5281,-1.233624469333595
1879,2020-05-18 13:54:00,42.07656,-70.27686,6.77,6.668376820856622,7.98779345720305,5.9418044090271,4.7445,-1.21779345720305
1880,2020-05-18 14:19:00,42.80305,-70.66563000000002,5.59,6.150046989888864,6.860897341847391,6.373880386352539,4.5581,-1.270897341847391
1881,2020-05-18 14:36:00,41.82721,-67.86515,7.82,6.807178123629569,8.333259055137736,6.656341075897218,7.7095,-0.5132590551377358
1882,2020-05-18 15:34:00,42.07515,-70.27508,6.75,6.650793938545064,7.9158525350378,6.048070430755615,4.7445,-1.1658525350378
1883,2020-05-18 15:45:00,42.76097,-70.62658,5.59,6.091682719926637,6.829792151605759,6.403244018554688,4.7466,-1.2397921516057595
1884,2020-05-18 17:08:00,42.80261,-70.66385,5.59,6.160039695150062,6.8529919761780596,6.374855041503906,4.5581,-1.2629919761780597
1885,2020-05-18 17:14:00,42.07814000000001,-70.27064,6.75,6.639867292598296,7.908272179401933,7.071122646331787,4.9444,-1.1582721794019326
1886,2020-05-18 18:52:00,42.07248,-70.27426,6.82,6.6445369077331415,7.929936364381909,7.343332290649414,5.1197,-1.109936364381909
1887,2020-05-18 21:49:00,41.8382,-67.86658,7.48,6.948543346960293,8.215628603021685,7.976307392120361,7.7095,-0.7356286030216843
1888,2020-05-19 02:25:00,41.81579,-67.88961,7.85,7.154070069092086,8.399444216129893,7.289023399353027,7.9634,-0.5494442161298938
1889,2020-05-19 06:45:00,41.82006,-67.9599,7.52,6.266074668418638,8.514958613071832,7.549729824066162,7.8752,-0.994958613071832
1890,2020-05-19 11:07:00,41.83058,-67.94691999999999,7.69,6.693057861891703,8.05871667876329,7.55370569229126,6.9473,-0.3687166787632892
1891,2020-05-19 15:15:00,41.82172,-67.92048,7.86,6.768573634481187,8.467855171695952,7.352139472961426,7.9634,-0.6078551716959515
1892,2020-06-01 00:42:00,41.14561,-71.28374000000002,9.6,9.99315727202378,8.869394021741185,6.370500087738037,7.1243,0.730605978258815
1893,2020-06-01 09:16:00,42.76375,-70.62321,5.62,6.651883884146855,6.857602313082168,6.322638511657715,4.795,-1.237602313082168
1894,2020-06-01 11:59:00,42.83765,-70.54032,5.56,6.561300356244536,6.748871870290363,6.5078959465026855,4.6537,-1.1888718702903631
1895,2020-06-01 12:54:00,42.80703,-70.66162,5.6,6.746576201689437,6.903932664249054,6.362081527709961,4.8392,-1.3039326642490545
1896,2020-06-01 14:21:00,42.83084,-70.54757,5.58,6.553432054593478,6.747953296514409,6.5111823081970215,4.6537,-1.1679532965144093
1897,2020-06-01 16:19:00,42.83593,-70.65326999999998,5.6,6.687123843866972,6.872768489000323,6.455601215362549,4.9860000000000015,-1.272768489000323
1898,2020-06-02 09:01:00,42.7666,-70.61786,5.61,6.600184803893825,6.84265546909603,7.884115219116211,4.8116,-1.2326554690960299
1899,2020-06-02 11:29:00,42.75936,-70.62973000000002,5.61,6.623614934440639,6.882260820788957,7.854483604431152,5.1169,-1.272260820788957
1900,2020-06-02 12:22:00,42.84222000000001,-70.52214000000002,5.57,6.549065690116848,6.74115988879694,6.278083324432372,4.9868,-1.1711598887969394
1901,2020-06-02 13:11:00,42.16279,-70.2886,8.68,7.293385293289247,9.079960124016793,6.55189847946167,7.0364,-0.3999601240167934
1902,2020-06-02 13:54:00,42.82903,-70.62943,5.57,6.551308666583225,6.827826691031233,7.405613899230957,5.0112,-1.2578266910312328
1903,2020-06-02 14:45:00,42.85339000000001,-70.52229,5.58,6.5641874701483385,6.744295987649728,6.184195518493652,4.9868,-1.1642959876497283
1904,2020-06-02 16:17:00,42.80025,-70.67404,5.6,6.746729893416301,6.970188845883057,6.302147388458253,4.8567,-1.3701888458830576
1905,2020-06-02 17:18:00,42.79037,-70.59383000000003,5.59,6.593630862961987,6.793579052191903,8.152664184570312,4.6527,-1.2035790521919028
1906,2020-06-03 09:14:00,42.76024,-70.62471,5.61,6.676593768478512,6.871213397790228,6.8791680335998535,4.8278,-1.261213397790228
1907,2020-06-03 11:20:00,42.84195,-70.63769,5.58,6.5938082774604245,6.866745457479425,7.034625053405763,5.0359,-1.2867454574794248
1908,2020-06-03 13:58:00,42.80437,-70.66776999999998,5.6,6.725051010887199,6.980936831103691,6.9476680755615225,4.8739,-1.380936831103691
1909,2020-06-03 14:55:00,42.82227,-70.51176,5.58,6.609348921814862,6.7421794239062525,6.266842842102051,4.9786,-1.1621794239062524
1910,2020-06-03 16:17:00,42.83205,-70.64514,5.6,6.629707639856348,6.855166978853731,6.946873664855957,5.0359,-1.2551669788537314
1911,2020-06-03 18:45:00,42.80337,-70.5884,5.59,6.547759109589522,6.784222799876268,7.295117378234862,4.6725,-1.1942227998762682
1912,2020-06-04 09:38:00,42.75268,-70.62158000000002,5.6,6.687182842830595,6.888143599605257,6.700252056121826,4.8438,-1.2881435996052577
1913,2020-06-06 14:36:00,42.80493,-70.61976999999997,5.58,6.579012108396896,6.835468247535061,6.552175521850586,4.7341,-1.2554682475350614
1914,2020-06-06 17:27:00,42.8253,-70.62439,5.55,6.5612800587083475,6.841654580157126,6.38471794128418,4.7622,-1.2916545801571262
1915,2020-06-06 20:13:00,40.02499,-69.56427,11.67,8.213257846771981,9.868118035098405,6.597471237182617,11.004,1.801881964901595
1916,2020-06-07 09:42:00,42.75721,-70.61949,5.61,6.6711869407064475,6.8901915036460375,6.443849563598633,4.8895,-1.2801915036460372
1917,2020-06-07 10:42:00,41.82946,-67.95196,8.55,6.384258219923197,10.291694508578887,6.930926322937013,8.0383,-1.7416945085788864
1918,2020-06-07 12:09:00,42.78073,-70.58731,5.55,6.579113940551281,6.816845209591791,6.4925785064697275,4.7555,-1.266845209591791
1919,2020-06-07 12:48:00,42.78679,-70.60031,5.58,6.592188728386077,6.826453985751186,6.400477409362793,4.7555,-1.2464539857511863
1920,2020-06-07 15:53:00,42.79474,-70.60673,5.58,6.586201879482204,6.837119791174273,6.388368606567383,4.7555,-1.257119791174273
1921,2020-06-07 16:34:00,42.01609000000001,-67.88534,8.88,5.110240109202664,7.737639990806151,6.1393370628356925,6.8956,1.1423600091938502
1922,2020-06-07 18:57:00,42.0394,-67.83332,8.93,4.9959974797390885,7.736967178721876,6.105262279510497,6.9196,1.1930328212781234
1923,2020-06-08 07:15:00,42.0267,-67.86350999999999,8.72,4.994653028182399,7.741237963305372,6.154936790466309,6.9221,0.9787620366946284
1924,2020-06-08 09:18:00,42.79241,-70.60493000000002,5.58,6.600568721625963,6.8303174652706815,6.1113600730896,4.7772,-1.2503174652706814
1925,2020-06-08 09:40:00,42.00392,-67.89335,8.69,5.043142256602863,7.7426300092333555,5.990009784698486,6.898,0.947369990766644
1926,2020-06-08 12:01:00,42.7741,-70.54741999999997,5.54,6.5805562070768975,6.80070753541002,6.291410446166992,4.9098,-1.2607075354100203
1927,2020-06-08 12:11:00,42.75416,-70.56501,5.58,8.066407619599323,6.823093034792103,6.423362731933594,4.9098,-1.2430930347921025
1928,2020-06-08 13:22:00,42.03603,-67.80648000000001,8.82,5.262991442990484,7.729073551099379,6.295187473297119,6.9319,1.0909264489006212
1929,2020-06-08 15:51:00,42.8027,-70.62898,5.58,6.646453447448124,6.88525709692388,6.173558712005615,4.9543,-1.3052570969238797
1930,2020-06-08 17:20:00,42.81365,-70.55615,5.57,6.587143265516881,6.781348169295902,6.306028842926025,4.7651,-1.2113481692959018
1931,2020-06-08 22:06:00,42.04527,-67.79418000000001,8.96,5.082562908048089,7.734570616791133,6.151374816894531,6.9319,1.2254293832088683
1932,2020-06-09 01:36:00,41.83417,-67.68191999999999,10.32,9.808019070756757,10.468601939641921,8.417825698852539,9.619,-0.14860193964192092
1933,2020-06-09 05:09:00,41.80838,-67.65361999999999,10.52,10.159251786318931,10.45948011196181,7.152157783508301,9.6793,0.06051988803818986
1934,2020-06-09 09:21:00,42.75859000000001,-70.60683,5.61,6.714700582258588,6.896989162162213,6.200472354888916,4.9183,-1.2869891621622127
1935,2020-06-09 09:31:00,41.80974000000001,-67.69823000000001,10.55,8.98205911062098,10.593370890572901,8.008060455322267,9.7854,-0.04337089057290022
1936,2020-06-09 12:07:00,42.16278,-70.28958,9.09,7.525190496465825,9.480487239283207,5.3284454345703125,7.2218,-0.39048723928320683
