,lat,lon,temp,DOPPIO_T,GOMOFS_T,FVCOM_T,CLIM_T
2019-10-07 20:00:00,40.58763166666666,-70.52686500000002,12.559411764705882,11.294113156463396,11.714889931804862,12.74345588684082,12.806
2019-10-07 21:00:00,40.587631666666724,-70.52686499999992,12.3695,11.331211349334865,11.72553099553366,12.720540046691895,12.806
2019-10-07 22:00:00,40.587631666666724,-70.52686499999992,12.374,11.369389699932896,11.72553099553366,12.709739685058594,12.806
2019-10-07 23:00:00,40.587631666666724,-70.52686499999992,12.359666666666676,11.397838502944069,11.72553099553366,12.706988334655762,12.806
2019-10-08 00:00:00,40.587631666666724,-70.52686499999992,12.361666666666675,11.485456055950408,11.755817156865312,12.712233543395996,12.866
2019-10-08 01:00:00,40.587631666666724,-70.52686499999992,12.374333333333334,11.476793775407941,11.755817156865312,12.725253105163574,12.866
2019-10-08 02:00:00,40.587631666666724,-70.52686499999992,12.396999999999982,11.468505963099346,11.755817156865312,,12.866
2019-10-08 03:00:00,40.587631666666724,-70.52686499999992,12.437000000000015,11.468813033461913,11.786162219191311,12.760152816772461,12.866
2019-10-08 04:00:00,40.587631666666724,-70.52686499999992,12.465500000000013,11.469751118106615,11.786162219191311,12.778185844421387,12.866
2019-10-08 05:00:00,40.587631666666724,-70.52686499999992,12.483166666666675,11.475490910238307,11.786162219191311,12.789091110229492,12.866
2019-10-08 06:00:00,40.587631666666724,-70.52686499999992,12.491666666666672,11.49387453261889,11.801082435756427,12.791532516479492,12.866
2019-10-08 07:00:00,40.587631666666724,-70.52686499999992,12.504166666666663,11.518749807712283,11.801082435756427,12.786593437194824,12.866
2019-10-08 08:00:00,40.587631666666724,-70.52686499999992,12.51949999999999,11.538809334662005,11.801082435756427,12.778542518615723,12.866
2019-10-08 09:00:00,40.587631666666724,-70.52686499999992,12.519999999999989,11.547614181481492,11.836171368978,12.771136283874512,12.866
2019-10-08 10:00:00,40.587631666666724,-70.52686499999992,12.51316666666666,11.556044622839607,11.836171368978,12.765165328979492,12.866
2019-10-08 11:00:00,40.587631666666724,-70.52686499999992,12.502833333333333,11.560306494913277,11.836171368978,12.766775131225586,12.866
2019-10-08 12:00:00,40.587631666666724,-70.52686499999992,12.495833333333337,11.555770947676478,11.90446695721434,12.780190467834473,12.866
2019-10-08 13:00:00,40.587631666666724,-70.52686499999992,12.488833333333341,11.54638997103089,11.90446695721434,12.779802322387695,12.866
2019-10-08 14:00:00,40.587631666666724,-70.52686499999992,12.480000000000011,11.52643659443325,11.90446695721434,12.775063514709473,12.866
2019-10-08 15:00:00,40.587631666666724,-70.52686499999992,12.478833333333345,11.509205042994836,11.958413613061595,12.772664070129395,12.866
2019-10-08 16:00:00,40.587631666666724,-70.52686499999992,12.479833333333344,11.505235575215295,11.958413613061595,12.770445823669434,12.866
2019-10-08 17:00:00,40.587631666666724,-70.52686499999992,12.480000000000011,11.519786356687064,11.958413613061595,12.762547492980957,12.866
2019-10-08 18:00:00,40.587631666666724,-70.52686499999992,12.475666666666681,11.54796095870384,11.983450831453212,12.747834205627441,12.866
2019-10-08 19:00:00,40.587631666666724,-70.52686499999992,12.462666666666674,11.579321375162607,11.983450831453212,12.72794246673584,12.866
2019-10-08 20:00:00,40.587631666666724,-70.52686499999992,12.436999999999985,11.602294143061073,11.983450831453212,12.707262992858887,12.866
2019-10-08 21:00:00,40.587631666666724,-70.52686499999992,12.418333333333326,11.62352257073195,12.028513743713603,12.705655097961426,12.866
2019-10-08 22:00:00,40.587631666666724,-70.52686499999992,12.410166666666665,11.635738353616716,12.028513743713603,12.693748474121094,12.866
2019-10-08 23:00:00,40.587631666666724,-70.52686499999992,12.409999999999998,11.641581059330434,12.028513743713603,12.702832221984863,12.866
2019-10-09 00:00:00,40.587631666666724,-70.52686499999992,12.403499999999987,12.089060683703224,12.09375198685754,12.726423263549805,12.924000000000001
2019-10-09 01:00:00,40.587631666666724,-70.52686499999992,12.395833333333323,12.069941367936991,12.09375198685754,12.760377883911133,12.924000000000001
2019-10-09 02:00:00,40.587631666666724,-70.52686499999992,12.370000000000006,12.003832764389301,12.09375198685754,,12.924000000000001
2019-10-09 03:00:00,40.587631666666724,-70.52686499999992,12.31833333333332,11.931258031795124,12.127811991684155,12.866148948669434,12.924000000000001
2019-10-09 04:00:00,40.587631666666724,-70.52686499999992,12.256833333333336,11.878494291439466,12.127811991684155,12.926817893981934,12.924000000000001
2019-10-09 05:00:00,40.587631666666724,-70.52686499999992,12.174333333333331,11.851916025935154,12.127811991684155,12.99527645111084,12.924000000000001
2019-10-09 06:00:00,40.587631666666724,-70.52686499999992,12.143499999999987,11.851073065940824,12.12720933539255,13.042903900146484,12.924000000000001
2019-10-09 07:00:00,40.587631666666724,-70.52686499999992,12.148666666666653,11.854668250649823,12.12720933539255,13.070172309875488,12.924000000000001
2019-10-09 08:00:00,40.587631666666724,-70.52686499999992,12.150999999999987,11.854661666552445,12.12720933539255,13.084260940551758,12.924000000000001
2019-10-09 09:00:00,40.587631666666724,-70.52686499999992,12.159499999999996,11.849283716403079,12.122513392041412,13.091049194335938,12.924000000000001
2019-10-09 10:00:00,40.587631666666724,-70.52686499999992,12.169833333333322,11.838783697736517,12.122513392041412,13.096287727355957,12.924000000000001
2019-10-09 11:00:00,40.587631666666724,-70.52686499999992,12.158833333333332,11.831490602028992,12.122513392041412,13.102928161621094,12.924000000000001
2019-10-09 12:00:00,40.587631666666724,-70.52686499999992,12.057333333333336,11.817819141879866,12.12648158503319,13.113479614257812,12.924000000000001
