,lat,lon,temp,DOPPIO_T,GOMOFS_T,FVCOM_T,CLIM_T
2019-09-10 21:00:00,40.08316166666667,-68.70488999999999,10.735,6.2132327185102545,5.566941552002278,8.677864074707031,10.223
2019-09-10 22:00:00,40.08316166666665,-68.70488999999999,10.663000000000004,6.1921408535640685,5.566941552001595,8.244758605957031,10.223
2019-09-10 23:00:00,40.08316166666665,-68.70488999999999,11.209000000000007,6.2573526476340655,5.566941552001595,7.990384101867676,10.223
2019-09-11 00:00:00,40.08316166666665,-68.70488999999999,10.855,6.313170337906798,5.689441703483907,7.885818481445312,10.234
2019-09-11 01:00:00,40.08316166666665,-68.70488999999999,10.324000000000002,6.344731721986535,5.689441703483907,7.804608821868896,10.234
2019-09-11 02:00:00,40.08316166666665,-68.70488999999999,9.940166666666679,6.352510660340101,5.689441703483907,7.714466094970702,10.234
2019-09-11 03:00:00,40.08316166666665,-68.70488999999999,9.984166666666663,6.382409046767492,5.8174930471655575,7.669997692108153,10.234
2019-09-11 04:00:00,40.08316166666665,-68.70488999999999,10.084166666666668,6.451774900800417,5.8174930471655575,7.730940341949463,10.234
2019-09-11 05:00:00,40.08316166666665,-68.70488999999999,10.097000000000003,6.548424337721372,5.8174930471655575,7.890817642211914,10.234
2019-09-11 06:00:00,40.08316166666665,-68.70488999999999,10.014666666666667,6.639815423948733,5.7208151330980845,8.105888366699219,10.234
2019-09-11 07:00:00,40.08316166666665,-68.70488999999999,10.397333333333332,6.683225825151169,5.7208151330980845,8.342950820922853,10.234
2019-09-11 08:00:00,40.08316166666665,-68.70488999999999,10.908333333333335,6.654478222627006,5.7208151330980845,8.582394599914549,10.234
2019-09-11 09:00:00,40.08316166666665,-68.70488999999999,10.695666666666662,6.555888906537973,5.4283728902209125,8.78547191619873,10.234
2019-09-11 10:00:00,40.08316166666665,-68.70488999999999,9.511833333333332,6.4100683805556855,5.4283728902209125,8.907573699951172,10.234
2019-09-11 11:00:00,40.08316166666665,-68.70488999999999,9.286999999999997,6.2622420549855065,5.4283728902209125,8.9251070022583,10.234
2019-09-11 12:00:00,40.08316166666665,-68.70488999999999,9.645666666666667,6.1583653774109735,5.338409749350149,8.837493896484375,10.234
2019-09-11 13:00:00,40.08316166666665,-68.70488999999999,10.057333333333332,6.131895215486168,5.338409749350149,8.684513092041017,10.234
2019-09-11 14:00:00,40.08316166666665,-68.70488999999999,10.27,6.199749225820312,5.338409749350149,8.516606330871582,10.234
2019-09-11 15:00:00,40.08316166666665,-68.70488999999999,9.9135,6.3611779601885425,5.495584032793033,8.393086433410645,10.234
2019-09-11 16:00:00,40.08316166666665,-68.70488999999999,9.884833333333333,6.5722952173680085,5.495584032793033,8.302876472473145,10.234
2019-09-11 17:00:00,40.08316166666665,-68.70488999999999,9.772833333333333,6.753189930759504,5.495584032793033,8.241843223571777,10.234
2019-09-11 18:00:00,40.08316166666665,-68.70488999999999,10.021333333333333,6.8225345341820685,5.692803870967964,8.212442398071289,10.234
2019-09-11 18:00:00,40.08316166666665,-68.70488999999999,10.021333333333331,6.8225345341820685,5.692803870967964,8.212442398071289,10.234
2019-09-11 19:00:00,40.08316166666665,-68.70488999999999,10.34633333333334,6.7558332196658455,5.692803870967964,8.201590538024902,10.234
2019-09-11 20:00:00,40.08316166666665,-68.70488999999999,10.817166666666667,6.587236534558599,5.692803870967964,8.198404312133789,10.234
2019-09-11 21:00:00,40.08316166666665,-68.70488999999999,10.629166666666665,6.3787372871594235,5.818806781617582,8.198506355285645,10.234
2019-09-11 22:00:00,40.08316166666665,-68.70488999999999,9.041333333333336,6.195949065999797,5.818806781617582,8.197630882263184,10.234
2019-09-11 23:00:00,40.08316166666665,-68.70488999999999,9.088833333333332,6.083195038157669,5.818806781617582,8.193045616149902,10.234
2019-09-12 00:00:00,40.08316166666665,-68.70488999999999,9.702499999999992,6.0192868751520345,5.638116907686936,8.18132209777832,10.245
2019-09-12 01:00:00,40.08316166666665,-68.70488999999999,9.911833333333336,6.0961925113166435,5.638116907686936,8.17341423034668,10.245
2019-09-12 02:00:00,40.08316166666665,-68.70488999999999,10.058333333333334,6.270163627180949,5.638116907686936,8.188941955566406,10.245
2019-09-12 03:00:00,40.08316166666665,-68.70488999999999,9.7895,6.483438758341436,5.454105416508185,8.259830474853517,10.245
2019-09-12 04:00:00,40.08316166666665,-68.70488999999999,10.041666666666666,6.664192792321585,5.454105416508185,8.395439147949219,10.245
2019-09-12 05:00:00,40.08316166666665,-68.70488999999999,11.194666666666668,6.767450301674388,5.454105416508185,8.583779335021973,10.245
2019-09-12 06:00:00,40.08316166666665,-68.70488999999999,11.476833333333328,6.771350361275438,5.456015299072959,8.80875301361084,10.245
2019-09-12 07:00:00,40.08316166666665,-68.70488999999999,10.4575,6.694945521036687,5.456015299072959,9.036581993103027,10.245
2019-09-12 08:00:00,40.08316166666665,-68.70488999999999,10.485166666666665,6.583866625570182,5.456015299072959,9.175081253051758,10.245
2019-09-12 09:00:00,40.08316166666665,-68.70488999999999,10.547500000000003,6.4878164023263585,5.510664366033268,9.111851692199707,10.245
2019-09-12 10:00:00,40.08316166666665,-68.70488999999999,10.04883333333333,6.4156629518852535,5.510664366033268,8.734560966491701,10.245
2019-09-12 11:00:00,40.08316166666665,-68.70488999999999,9.88883333333334,6.3611918202794016,5.510664366033268,8.327689170837402,10.245
2019-09-12 12:00:00,40.08316166666665,-68.70488999999999,9.822833333333334,6.320538035378263,5.730307724470206,8.072149276733397,10.245
