,time,lat,lon,observation_T,fitting,no_fitting
3613,2018/5/24 14:02,42.50064,-70.45682,4.84,4.778733048,
3614,2018/5/24 14:17,41.02521,-71.37641,7.18,5.962256036,
3615,2018/5/24 15:36,40.99964,-71.39036,7.31,5.902762872,
3616,2018/5/24 16:59,41.03095,-71.37676,7.45,5.99314013,
3617,2018/5/26 18:19,42.8273,-70.7043,4.76,5.184660076,
3620,2018/5/29 10:05,42.50025,-70.45586,4.87,4.895235264,
3623,2018/5/29 14:04,42.49914,-70.49903,4.86,4.839007014,
3624,2018/5/29 17:44,40.943,-71.60672,7.49,6.486045824,
3625,2018/5/29 18:54,40.94213,-71.61011,7.71,6.509365477,
3626,2018/5/29 19:50,40.91783,-71.60955,7.81,6.40801372,
3627,2018/5/29 21:09,40.94376,-71.60904,7.73,6.566262183,
3633,2018/5/31 12:13,40.94604,-71.60923,7.26,6.775376522,
3635,2018/6/1 18:42,42.86411,-70.71414,21.77,5.668459592,
3636,2018/6/2 13:11,41.02548,-71.37435,7.21,7.57880303,
3637,2018/6/2 19:10,42.84637,-70.65642,4.7,5.409328083,
3640,2018/6/5 22:32,40.66526,-72.94461,12.56,13.61022844,
3642,2018/6/7 18:32,42.87258,-70.75253,4.71,6.879454512,
3658,2018/6/12 16:27,42.79808,-70.66428,5.22,6.078769499,
3661,2018/6/13 14:15,41.48337,-70.25474,15.89,15.34000575,
3662,2018/6/13 17:15,41.51872,-70.28038,16.43,15.91359561,
3666,2018/6/14 10:53,41.50397,-70.27338,16.05,15.66569555,
3667,2018/6/14 12:56,41.49337,-70.21749,16.23,15.21243543,
3668,2018/6/14 15:01,41.53826,-70.26564,16.43,16.87873498,
3669,2018/6/15 18:16,40.93878,-71.60614,7.65,7.026489379,
3670,2018/6/17 12:13,40.9384,-71.60571,10.76,7.611224039,
3671,2018/6/17 16:19,40.94049,-71.60314,7.72,7.565916683,
3673,2018/6/17 21:54,40.94824,-71.59736,7.76,7.783833317,
3677,2018/6/18 11:00,41.58579,-70.14925,16.39,11.88725229,
3679,2018/6/18 13:45,42.7691,-70.58259,4.87,5.624351783,
3705,2018/6/22 13:07,41.08967,-71.57408,10.31,9.973696691,
3708,2018/6/22 15:13,41.15561,-71.62837,12.74,11.78647203,
3717,2018/6/25 10:37,41.03802,-71.57209,10.28,10.03716434,
3718,2018/6/25 12:41,40.97321,-71.53694,8.44,8.96359874,
3719,2018/6/25 16:57,40.96939,-71.5487,9.49,9.016989187,
3720,2018/6/25 19:14,41.05635,-71.5929,9.98,10.49210567,
3721,2018/6/26 16:46,42.80047,-70.6623,5.2,6.623143772,
3722,2018/6/27 11:55,42.77398,-70.63664,5.54,6.550542881,
3726,2018/6/27 14:37,42.85997,-70.6511,5.45,6.406273897,
3727,2018/6/27 17:03,41.59041,-70.27076,18.44,18.96520154,
3728,2018/6/27 17:42,42.834,-70.71389,5.46,7.23756811,
3746,2018/6/29 11:51,42.77823,-70.64168,5.74,6.340287585,
3768,2020/7/2 6:36,42.80011,-70.67037,5.94,6.882962711,9.544214595
3784,2020/7/2 6:37,42.80647,-70.63597,5.51,6.557791263,9.544214595
3785,2020/7/2 6:38,42.77072,-70.61495,5.74,6.582091105,8.829306074
3786,2020/7/2 6:39,42.84071,-70.66286,5.84,6.787184457,9.544214595
3793,2020/7/2 6:40,41.30913,-71.50495,8.55,13.94965918,15.71401044
3848,2020/7/2 6:41,41.0007,-71.58998,8.97,9.807625167,10.32301
3866,2020/7/2 6:42,41.56382,-70.10805,20.7,17.92063011,13.50128626
3867,2020/7/2 6:43,42.8011,-70.65582,6.51,7.295825712,9.544214595
3868,2020/7/2 6:44,42.76032,-70.62198,6.67,7.153779545,8.829306074
3869,2020/7/2 6:45,42.80912,-70.65932,6.41,7.303686063,9.544214595
3871,2020/7/2 6:46,42.86577,-70.65132,6.31,6.694852875,9.544214595
3875,2020/7/2 6:47,41.57968,-70.10316,20.51,16.96266438,13.50128626
3876,2020/7/2 6:48,42.85702,-70.64668,6.54,6.813158727,9.544214595
3878,2020/7/2 6:49,42.8056,-70.6499,6.6,7.26969345,9.544214595
3879,2020/7/2 6:50,42.84601,-70.6561,6.63,7.067820695,9.544214595
3891,2020/7/2 6:51,41.16604,-71.50119,9.44,12.88827307,15.83513147
3897,2020/7/2 6:52,40.92433,-71.56097,9.28,10.00934731,14.28122596
3898,2020/7/2 6:53,42.84707,-70.68041,7.4,7.578640356,9.544214595
3899,2020/7/2 6:54,42.743,-70.64329,7.42,9.25839916,9.724053961
3902,2020/7/2 6:55,42.7994,-70.67031,7.13,7.927501968,9.544214595
3903,2020/7/2 6:56,41.25752,-71.50608,13.36,13.50488688,15.3629223
3908,2020/7/2 6:57,40.94896,-71.58681,9.72,10.36522024,14.81800469
3911,2020/7/2 6:58,41.08762,-71.42205,9.27,11.4520909,15.31925898
3917,2020/7/2 6:59,42.87603,-70.65123,7.1,6.866306354,9.826734186
3919,2020/7/2 7:00,42.82638,-70.65181,6.92,7.264944152,9.544214595
3920,2020/7/2 7:01,42.76872,-70.67243,7.25,9.171518246,9.724053961
3927,2020/7/2 7:02,42.82725,-70.65492,7.03,7.498914799,9.544214595
3929,2020/7/2 7:03,42.87731,-70.64891,6.88,7.01903843,9.826734186
3938,2020/7/2 7:04,42.87423,-70.68157,7.1,7.548417642,10.23825597
3944,2020/7/2 7:05,42.82829,-70.65194,7.09,7.234150038,9.544214595
3945,2020/7/2 7:06,42.77951,-70.64634,6.97,7.534537276,8.829306074
3947,2020/7/2 7:07,41.56993,-70.08685,20.37,20.19535798,13.50128626
3949,2020/7/2 7:08,42.83159,-70.65941,6.76,7.315354881,9.544214595
3950,2020/7/2 7:09,42.81389,-70.68318,7.67,7.92340469,9.544214595
3951,2020/7/2 7:10,42.84244,-70.68679,7.49,7.683118459,9.544214595
3953,2020/7/2 7:11,41.29598,-71.51565,13.64,15.699339,15.71401044
3956,2020/7/2 7:12,42.74068,-70.29733,6.85,6.840152912,7.525790915
3957,2020/7/2 7:13,42.82166,-70.65179,7.17,7.526706886,9.544214595
3958,2020/7/2 7:14,42.86749,-70.66119,7.2,7.139928349,10.23825597
3959,2020/7/2 7:15,42.76314,-70.3222,6.71,6.797916169,7.515503929
3961,2020/7/2 7:16,42.82529,-70.64848,7.2,7.403565176,9.544214595
3963,2020/7/2 7:17,41.56856,-70.17157,22.97,21.48760597,13.50128626
3966,2020/7/2 7:18,42.8188,-70.64797,7.33,7.578881602,9.544214595
3967,2020/7/2 7:19,42.6925,-70.33098,6.65,6.786974225,7.452909189
3968,2020/7/2 7:20,41.08921,-71.58848,15.54,12.25131269,15.58308807
3970,2020/7/2 7:21,42.86288,-70.65737,7.27,7.427950601,9.544214595
3971,2020/7/2 7:22,41.1377,-71.49096,16.14,13.21247508,15.83513147
3972,2020/7/2 7:23,41.16899,-71.51874,15.65,14.13762142,15.83513147
3973,2020/7/2 7:24,42.81974,-70.64683,7.34,7.762719394,9.544214595
3974,2020/7/2 7:25,42.86778,-70.66089,7.35,7.482826635,10.23825597
3975,2020/7/2 7:26,42.82581,-70.65456,7.37,7.931115495,9.544214595
3976,2020/7/2 7:27,42.81979,-70.64855,7.44,7.837795608,9.544214595
3977,2020/7/2 7:28,41.18858,-71.51147,12.73,13.6656132,15.83513147
3978,2020/7/2 7:29,42.87095,-70.65823,7.47,7.503777394,10.23825597
3979,2020/7/2 7:30,42.86523,-70.65582,7.43,7.642758523,9.544214595
3980,2020/7/2 7:31,42.80131,-70.65891,7.31,8.18329167,9.544214595
3981,2020/7/2 7:32,41.3052,-71.52786,12.73,14.69420733,15.71401044
3983,2020/7/2 7:33,42.69349,-70.33072,6.64,6.841636254,7.452909189
3984,2020/7/2 7:34,42.85638,-70.64271,7.4,7.428543845,9.544214595
3985,2020/7/2 7:35,42.80361,-70.65741,7.41,8.160680557,9.544214595
3986,2020/7/2 7:36,41.57473,-70.17826,19.11,19.98623529,12.66984844
3987,2020/7/2 7:37,42.86361,-70.65977,7.45,7.82991684,9.544214595
3989,2020/7/2 7:38,40.96513,-71.55973,9.61,9.360632999,14.81800469
3990,2020/7/2 7:39,42.80148,-70.65531,7.56,8.193965726,9.544214595
3991,2020/7/2 7:40,41.0469,-71.30867,9.5,10.03254056,11.08300686
3992,2020/7/2 7:41,41.07224,-71.30966,9.48,10.22222651,11.34709454
3993,2020/7/2 7:42,42.83457,-70.37719,5.59,5.82154292,6.501495361
3994,2020/7/2 7:43,42.85069,-70.65256,6.35,6.151858147,6.9593153
3995,2020/7/2 7:44,41.05696,-71.33105,9.48,10.09091666,11.06668091
3996,2020/7/2 7:45,41.0582,-71.3002,9.5,10.03339921,11.17686176
3997,2020/7/2 7:46,41.05845,-71.33045,9.5,10.06235056,11.05414581
3998,2020/7/2 7:47,41.05796,-71.29655,9.51,10.0194281,11.19707298
3999,2020/7/2 7:48,41.05714,-71.29651,9.56,10.04040331,11.30175972
4000,2020/7/2 7:49,41.05774,-71.32779,9.53,10.17224797,11.19979286
4001,2020/7/2 7:50,41.05445,-71.29872,9.53,10.15249264,11.37795067
4002,2020/7/2 7:51,42.7708,-70.3703,6.23,5.81563361,7.217301212
4003,2020/7/2 7:52,42.81666,-70.56132,5.07,5.65533816,5.970541
4004,2020/7/2 7:53,41.07402,-71.30539,9.61,9.883295969,12.29193974
4005,2020/7/2 7:54,42.69314,-70.29252,5.69,5.84345407,6.216583252
4006,2020/7/2 7:55,42.82976,-70.56077,4.79,5.614312819,5.925415516
4007,2020/7/2 7:56,42.70504,-70.31175,6.16,5.851400353,6.134945393
4008,2020/7/2 7:57,41.04653,-71.30968,9.59,9.629917065,11.81837845
4009,2020/7/2 7:58,41.07467,-71.30706,9.48,9.853433542,12.18222427
4010,2020/7/2 7:59,41.04809,-71.31176,9.39,9.604503377,11.70266151
4011,2020/7/2 8:00,41.07522,-71.30417,9.31,9.846260912,12.1112442
4012,2020/7/2 8:01,42.76824,-70.25534,6,5.778144452,5.808159828
4013,2020/7/2 8:02,42.7503,-70.29334,6.07,5.746094219,6.141167641
4014,2020/7/2 8:03,42.75768,-70.28152,5.8,5.728035331,5.947114468
4015,2020/7/2 8:04,42.85091,-70.54105,4.88,5.610731747,5.789112091
4016,2020/7/2 8:05,42.68872,-70.31531,5.72,5.751436824,6.222257614
4017,2020/7/2 8:06,42.82069,-70.53482,4.95,5.644276727,5.909335613
4018,2020/7/2 8:07,42.80269,-70.57699,4.8,5.571224218,6.120577335
4019,2020/7/2 8:08,42.76658,-70.28096,5.9,5.622381915,6.087392807
4020,2020/7/2 8:09,41.05145,-71.30769,9.53,9.788639553,11.56403255
4021,2020/7/2 8:10,42.7579,-70.2893,6.33,5.650186401,6.087720871
4022,2020/7/2 8:11,42.8478,-70.55993,4.91,5.541466493,5.935848713
4023,2020/7/2 8:12,42.78369,-70.33042,6.02,5.597142998,6.037761688
4024,2020/7/2 8:13,41.04823,-71.30929,9.52,9.764203694,11.56786346
4025,2020/7/2 8:14,42.85796,-70.51684,4.88,5.631547207,5.858683109
4026,2020/7/2 8:15,42.7874,-70.41796,5.14,5.721182777,6.033492565
4027,2020/7/2 8:16,41.07459,-71.30685,9.57,10.07216609,11.93655205
4028,2020/7/2 8:17,41.04707,-71.30683,9.58,9.78213712,11.64730358
4029,2020/7/2 8:18,42.79265,-70.58922,4.93,5.57212683,6.1533494
4030,2020/7/2 8:19,41.07473,-71.30505,9.61,10.0416314,11.91954708
4031,2020/7/2 8:20,41.06056,-71.30537,9.61,9.826197463,11.59780312
4032,2020/7/2 8:21,40.85777,-71.60481,9.11,9.339272664,
4033,2020/7/2 8:22,40.85585,-71.6023,9.13,9.284403832,
